0x65b3a4ec8a6ee38d6acbf3e0576e7d8974b1c369187ce1e508b28334a254637e, 1558920688, SAI, 1.4187074999870586, ETH, 0.005
0x48a2b885f913a10e74e7bc157d2a033f864b892345be780903663aaab9dee73c, 1558920958, SAI, 119.17142999977587, ETH, 0.42
0x90718d6f6353faa106ba6f183fb886502df2d8eb0b2bd8d3861b5271bfb2068e, 1559065397, SAI, 103.89235499977865, ETH, 0.36
0x72ddeec466455458b8788656408cdbbd59ca86838c0e908f1cd5e3d6cc5ba546, 1560615886, USDC, 867.0973038173182, ETH, 3.085
0x4d9f53725c5d7b04b1e36445e568c2340530d612377cac07bb4541110efcca70, 1561102488, USDC, 489.11199803474784, ETH, 1.6376
0x708d5c74e26f529f7f2e464204cc0e8ec5c494f2b401221d7d055daeb5e2a518, 1561103600, SAI, 299.94064537479613, ETH, 1.0005
0x48379fd904bffe01d504b6884474624d287d7f21c11beab163250de112571205, 1561139713, SAI, 15.18811874998896, ETH, 0.05
0x228dab7d4a6d783c68aa1ccbdda570a85cc1ce453594a7bf069a33df263a2e6c, 1561167626, SAI, 31.826024999962097, ETH, 0.1
0x1f8057a4b68ed437589b4a3f0b1394fc8657222ef0126ece106d38aa71aa0e73, 1561167773, SAI, 159.13012499997467, ETH, 0.5
0xb33204910cbbbc0d6131afa6980428027b66ba8fa937bb7ef556b64f21cba936, 1561167773, SAI, 60.46944749994191, ETH, 0.19
0x885c6d168304f3169e6c8471a6da8c156a425fafdebed771b3b03dca284a4971, 1561167859, SAI, 38.19122999989049, ETH, 0.12
0xc8f29f68b7bc7ef4d100a732ea7401ea561cd7dd357ad22679f06e392f09d1ae, 1561168226, SAI, 31.826024999995152, ETH, 0.1
0x1b395c2a1bb90e22209509379de57f589cd8bb5ef7d94ae08a0f3cc5772dbe3f, 1561184648, SAI, 8.482808978076004e-9, ETH, 2.685e-11
0x713096e2712e319b438c4788918099066ecab25db1188e618c3aa05c897ce4b6, 1561185512, SAI, 4.148507999980362, ETH, 0.013
0xb2b1574990e72ddefad08c966ba37625bcd8af6bcb76159a73e83ae36100f0c4, 1561213209, USDC, 107.96153294874347, ETH, 0.327
0x057c636c0371b8d43df15bb096876e2377138f5e55e71ce2708a4a8faeeb6b4e, 1561213249, SAI, 246.8595937498202, ETH, 0.75
0x71ae4bb70aaca9ee57df71ece6f63f7e0ab1c2a4f877d8c30c4d2c9308ae0972, 1561213444, SAI, 96.11066849985438, ETH, 0.292
0x41a92e8a442da48378df58d5cf51fdc61bb32ab13621013dc057aa4885cfee4b, 1561294337, SAI, 7.633994025597288, ETH, 0.023646882523497097
0xade25c370ac62423b074a79d7eb772cdab8182b757c8e1b6b47445ca5390fc2a, 1561295652, SAI, 20.184467972554874, ETH, 0.06252293901991444
0x2245118e73d529c0fc115f1b9824c73569b6e39e6cc76e583700e5ea7ec7b484, 1561296631, SAI, 155.45277212000005, ETH, 0.48152689508222046
0x52143e734696defc79f80a833d658331c2b8aaa47a5123f33b1dd33eff8620ec, 1561319039, SAI, 0.6583079999648678, ETH, 0.002
0xf27ccb84d34b25bcb57cacc558571a01497967ed93c12fc2c4382ebaaa1d6647, 1561319513, SAI, 3.2915399998379535, ETH, 0.01
0x89dd4a788425dcd727e164520f8ece2aae4a997d9562033040d052e197acae57, 1561436513, BAT, 300.0510575827062, ETH, 0.292786249953047
0xdd2ed65176154ea4f8adde09f777bd42bcff8c0ae561c7afb04a798ee0bae721, 1561506057, ZRX, 860.7162787642064, ETH, 0.874
0x2d56ca2560013594f7e25fcf1c91c2df90ee3cd9b10c612355ec4233ed07b5ce, 1561523344, SAI, 150.6143927317055, ETH, 0.43506908945158657
0x6879a5f97060ad8be52fa940e5aad5f75eeacd48b3bd40d362fa9c62e2b7783a, 1561553252, SAI, 252.02414999977412, ETH, 0.7
0xc250f57b80b9b40bdd35f0e4a018b9eeaeffc7b4352a7eb134397b475b7fce57, 1561553308, SAI, 270.02587499984907, ETH, 0.75
0x64bf2d2e7db2dd4edd9b3fddc1b3651083af595699a855d931fbd667743df917, 1561553360, SAI, 180.01724999999303, ETH, 0.5
0x8553baf2cba0a08a63397eb2b8668cfff1b87886111eb9809381ab1456427593, 1561563232, SAI, 36.00502499987344, ETH, 0.1
0x6aa636a7f964d53128e8aba5db71065361880081cd57e69b81b4a65028971208, 1561567390, SAI, 9.905097776596296, ETH, 0.026966515504871506
0x7f126f54fedd1e282ffdbe8eb6b3758bca9c50fda9efabb4d35fd704c38b599a, 1561567730, SAI, 12.82845861151722, ETH, 0.03478066936220816
0x14d0f71def5443f993a0a8d86e151b583725046e564fb40c8373adf2a4111b3f, 1561568120, SAI, 106.35387736679125, ETH, 0.28699574141071266
0xc8682d7850a209a9257594866f5b3573801f24b2c6e5ccfcab61e6edb190a53d, 1561570014, SAI, 1.027030199912868, ETH, 0.0028
0xa62443ae1309f393c891dd483c46d775521040cce43ba42f66cb32791fea2d39, 1561571702, SAI, 0.5135150998947775, ETH, 0.0014
0xa07365bccd43b3b2cc47582d92250b6af3d32652db92e08b49b857b5c2d7518e, 1561586161, SAI, 565.7132249998772, ETH, 1.65
0xf7a415b930505e3c8458cb4dc6a1b40beb752370884c8e5e080555b8e70b2ab9, 1561907366, BAT, 431.7873268656838, ETH, 0.4047296824473048
0x34419951950adc32f7b7064ab5dfe482a01acf3eeb2d1808cec65c9ebb9f1644, 1561947803, SAI, 2390.6823149987963, ETH, 7.72
0x7acc3f9c4cde10a0b462d5471ea0ccaafcb27cb645c6072e26cc255d074c2f83, 1562436166, BAT, 296.59895091995116, ETH, 0.2838
0x0cf14e0404ee61c63d37ffae3955a8e04a371955ab4b86a92f27a65f95fc4a95, 1562605131, BAT, 204.92745795525923, ETH, 0.19197604261265136
0x4a046d1e720d7062f3dfc9c375d1ab486bbe3c2afa9b62bd4e0f2fac6bd86ec8, 1562876512, SAI, 41.30575512047614, ETH, 0.14403095404372482
0x9de1e252132deb3959584d007cbe476dd5b2658aebce6ab0c9d882c02cafcd33, 1563211799, SAI, 10.940776682026623, ETH, 0.04483798533216992
0x64f1a413685831d1be7b37884a7ab267cadd554a003fbb9d7bf603e71f995370, 1563377109, SAI, 16796.98124998539, ETH, 75
0x6530152a6eb5b858c8aaf0791322c5844e4da48f3858aa8a29fe28141274c23c, 1563461065, SAI, 46.0519499998962, ETH, 0.2
0x34f4f308812496ab8f93df0f5999c7dcbdb7d42833a6bb357cdff854f5be0a76, 1563463649, SAI, 100.14101999989677, ETH, 0.4272
0x5aaf1cc3395941291eb7cbf7d2e0e9d8cc1bb04521593668b8e4940e8319612e, 1563492660, SAI, 5.3066411999266485, ETH, 0.0224
0x42108bf9dea65a05798906f5edee63ba3a8a25b0363dd27afd97d90a2cd7fa26, 1563906040, SAI, 6846.367499996243, ETH, 30
0x90834f3769d3af812b9a01f3056534432f872d71c3d024f99d0001f2a0dc7325, 1563923023, SAI, 0.9130132788416987, ETH, 0.004004958
0x43254bf4c190555eec6ed010bc9ba2b10f2272bb5482dea8fa66ad0d3c31b2bc, 1564966935, SAI, 45.22964249989972, ETH, 0.19
0x9bf99e3726fb9300c1e85988bb3f0edf3f4042c491b2f4348cd472a2c80af250, 1564973669, SAI, 1.693701449820346, ETH, 0.0071
0x1826a50f65dcbf91e1d3a659811bd16d45208a28b8a564f8fc708e9c88e3b498, 1564974366, SAI, 23.915591699949708, ETH, 0.1001
0xeede67b2031c1d8c8fc966e96af6e94f8e16a83803d17b964d67fde5b1ccd324, 1564974613, USDC, 1.2106626445696433, ETH, 0.005
0x22c2f9299ea729a25ead026c1f52c1ef1818a01f46be6ae6e1767727c3ec2de1, 1565007804, USDC, 3.9004884999050757, ETH, 0.0159
0x7672d687cd1bee10de5bfb6e03fb1bbf680d6f66da5d1c386185c9bf3fa9331a, 1565183153, SAI, 2.7739071435599256e-7, ETH, 1.168376338e-9
0x50db605e6aedbeef71e5fdb76a97964fd576882d55c0247161a821129d94923c, 1565186585, SAI, 0.00001198090359870865, ETH, 4.9829506142e-8
0x9defab09e022534dc1840ec44a57f5514c2769a084829d151df2f089732d41c2, 1565191728, SAI, 0.02370317497579328, ETH, 0.00010001972708389
0x575eb9313432db1df3fed63b7690fb296cb925c42d40bb50195f693792201704, 1565191945, SAI, 0.00001825571966539976, ETH, 7.7033280126e-8
0x5bb93ef3e612efed8815ed7f7004ad8e8fabe9eca569324d5ee23a8c6fd7f78e, 1565221542, SAI, 95.39616082477518, ETH, 0.4049
0x4d465463190dcb582b04f47f04e50574049f9b98bd789c56b7f4d6a48ad302af, 1565311345, SAI, 230.4644999999431, ETH, 1
0x49c198587e238c9f5dfaeb2661544c44447d65f99d7ceb9822a01be1af599a27, 1565395221, SAI, 0.000002441845958997845, ETH, 1.1121086955e-8
0x658955228cc3dbeab992c7d61b69ee9ca9bf57ffe0dc75470c31cfee71fa5451, 1565546611, USDC, 6.203255657430488, ETH, 0.02759268360350106
0xfd7084b81ed5ad5001a4b513ac58a3c3c1ad6ff6fbbb35b70ab160b6d71266d3, 1565716855, SAI, 62.32542198727405, ETH, 0.2877
0x10f961c8d9b5287b3a5d4f1fd04e2f2046dc20e9da7fd86969cd8ef494630749, 1565738986, SAI, 20.0600977499865, ETH, 0.0924
0xae3348713993422b0471d67c8fea7ae5f6cbe2f4e94f4de9b5b3ac0825ed6c53, 1565879091, SAI, 193.24462499988365, ETH, 1
0x6b6d9b57e653a4d65b2a728f3d61d3f57dabf7c2cec4e5efc73ddf8339bea0b3, 1565901871, SAI, 196.13737499989077, ETH, 1
0x8e15ffe6466a908faf478cae5d804ccfef458639f535cc468bec2093c524b48b, 1565912143, SAI, 2.467795312467125, ETH, 0.0125
0x4c0b48238909a9d423304823a0d37f21834ffdaf0ff5c46f3347b68e39425a01, 1565916003, SAI, 137.76953843895234, ETH, 0.6981991976992562
0x1e6b41db00824bda84397e33cc58dd9936918459ac01d431cfd07e72403740b9, 1566083179, SAI, 38.43231332552312, ETH, 0.1978550942847561
0x2483c5e0222af97f1837b6dfb1a9bf6ffa62ae881975cd33b1a042d7916eb7ad, 1566124293, SAI, 21.40053562490052, ETH, 0.1075
0x1e73c3b003ce76154d49efcdf291c685bfe16a892e4bca5f07e81df7f2cedd36, 1566137286, SAI, 13.298807024933707, ETH, 0.0651
0x6656bd95a71768b5cfae724ca7dfe7696b921e07408a4446b2452ecd142f5714, 1566140906, USDC, 2.5168751998333385, ETH, 0.0123
0x1c108370e3d79a7605286b798e392a795524f0aacba9519041f0bd45c64e3a3c, 1566147721, SAI, 15.332298449815488, ETH, 0.0742
0x6e94054ba480de016a2a43211ad2a926dbb176612d9a82b9025d66422cac0fe0, 1566156986, SAI, 7.914110924951086, ETH, 0.0383
0x67bb287b0558b7d6e298aed92fee232117c52ab2160a8805b757def1df03c1d5, 1566165130, SAI, 0.39260602487258917, ETH, 0.0019
0x53fbabe553543d64db02079b13156ccb48a7246a7cfacff67047cd28fc0ddda4, 1566165547, SAI, 0.2066347498017439, ETH, 0.001
0x47833d551b4ebac3bb59154e45d51825512d0bc5309906c5480a8420d7fd8b86, 1566198890, SAI, 619.3430223747116, ETH, 2.9766
0x00af4c1da5b2fc7b97040fa5d7d2f05f32fa3032210df3e5d9b734d9db767af7, 1566199768, SAI, 4.8490241624388375, ETH, 0.0233
0x17b4c976ee216f1cc92169a361c660069b3b339a759e8447b8f821636a18db7f, 1566201992, USDC, 14.029216514556293, ETH, 0.0668
0x76e786cb98aeaf1a4f0be029bfc47ed74e9668c5a6590b56b02b48dd1ef8ed07, 1566213556, SAI, 21.17903602479573, ETH, 0.1002
0x3c6d297bea7486df3c21956b91e934535d95ea87104a8d5d969de98ea45a7f63, 1566256476, SAI, 1018.3073596103667, ETH, 4.800715456590362
0x410505c093f2195c3ef2a40f061e870302e8d6cf8f718738ed0c0c239522d1bd, 1566264529, SAI, 0.29696204980063906, ETH, 0.0014
0xcbd9e7a6229fedc805932f6b596029b9070d1155758a486d455bbfebef133c86, 1566486341, SAI, 0, ETH, 2e-18
0xbe85919fc073a210c5a2721211b8374f4858cea044d6fa429fedeca88510a350, 1566486536, SAI, 0, ETH, 7e-18
0xa1199eb605f4490d3add7c7eb21efaa427898b5cb91305dbd7100e19349d4e99, 1566486670, SAI, 204.81564975502047, ETH, 1.020508382888901
0xb1be36fc249e616f1896125de6a6a0168a6a96cff031f96cb6a9c7769eda817b, 1566573596, SAI, 61.51063975826477, ETH, 0.2991640771362096
0xd531eb7f98354406a65809c33d60b19a6dc3eff0b55c4085be66ada0eef800ee, 1566589248, SAI, 30.65596709600812, ETH, 0.14958389783540205
0x717f46aae23e14ebff0e85aa38f1973b6c3caae9b873849dc33bf4f2beda509b, 1566726471, SAI, 9.941770298685174, ETH, 0.05001771085851418
0xadc55f3143d60edffda4f2bd550f790ac07f4422ce1b9172ecf36639c9957602, 1566771788, SAI, 368.15959346804567, ETH, 1.9030023568822365
0x544c04bc90247b7004da64c91af1f03cf3901fdbc42084cd73f1a6a952358ef6, 1566997972, USDC, 14.221628711697871, ETH, 0.07214094532348893
0xb9409c226af911db474de9c2d918a1caec99101a6c25b881956b45299aa11e25, 1567324134, SAI, 193.91592539930812, ETH, 1.0710228997229794
0x6045e301d6acae5d93afc0763747a960d31a5ca6bbdabfc5b938515632c16348, 1567434654, SAI, 22.551830142590003, ETH, 0.124491716964091
0x8a78ddb328a18eced9b5604b660b65e148e74bfe48cba660a33f0a715b1dd2d1, 1567454654, USDC, 7.1314012989452396, ETH, 0.037979837916290095
0xcf3881bdfe7766bfb2bf8f967832ae352a1a0cdf44b9a52b9383ecd3a3dae489, 1567460271, SAI, 2.222270399877394, ETH, 0.0118
0x5ab17d4133c39a3d8438b36f80f9aeeaa84e54aa34325b796b7caffe8fa40405, 1567515311, SAI, 7.647935754039276, ETH, 0.040933732366937
0x192640ea05ee0322be9fb125117e01845bc9ff7bee40cda212bd4baeaa11a471, 1567544692, SAI, 1.3582637248465745, ETH, 0.0071
0xddc1bb7da195a929396e29a24a014630753b40d443ade771fcfaf624bb302546, 1567745867, SAI, 108.10598230022848, ETH, 0.590728546568289
0xefdbc831b1350db78b7dc8f8bdc28f5aea053f1548ef8d6101bbe6f288bcb022, 1568029965, SAI, 771.5430925916249, ETH, 3.9969262005504373
0xa42de5c004a6e35e2c16ccf638c9a61f5eb4b3a8371eb5590ed29b61bfcb493b, 1568392191, SAI, 1.5704167735153511, ETH, 0.0084
0x415bc3394816e3ac73d2110e4f1e83d557e3e163d2a15d7d307208f5a878827d, 1568470464, SAI, 465.9115759142094, ETH, 2.43931042122722
0xea41d0e184a678f40d2826c480bebb04e27bf64cc4f2cecaff2a26542bff2b3c, 1568477329, SAI, 4.849269826237322, ETH, 0.0253
