0xf8c4f53d923aac5603491ce6b6b4e9df64c8350093ecf10fd99a77eb773e0b10, 1631636607, DAI, 10209.893766619152, AAVE, 24.75293869129437
0x212c9acfaa6efbcb9daca57890061cb362f6b5b8ae2f4ed0d86061be425b66ff, 1640358841, DAI, 18341.214540375495, AAVE, 64.70440146271785
0xff40eac6175789846c04407bb19471b637ba708526ddb94103b3e8d5d5462932, 1640680930, DAI, 10412.276472485493, AAVE, 32.68444207470161
