AAVE, 0, 15.207704998117524 15.207704998117524
COMP, 0, 1793.38191502471 1793.38191502471
ETH, 0, 620.8632861936198 620.8632861936198
DAI, 6817797.961061627, 17303062.50236811 24120860.463429738
MKR, 0, 0.20121251039948665 0.20121251039948665
LINK, 0, 4933.611836714245 4933.611836714245
BAT, 0, 3504195.242341431 3504195.242341431
REP, 0, 513.5515297573917 513.5515297573917
SAI, 103931.99999999999, 26663.407708637358 130595.40770863734
SUSHI, 0, 329.1933524135144 329.1933524135144
TUSD, 0, 137060.49952466326 137060.49952466326
UNI, 0, 45623.817523740356 45623.817523740356
USDP, 0, 0 0
USDC, 27000, 11908219.555738 11935219.555738
USDT, 0, 2482726.368564 2482726.368564
WBTC, 0, 7.07847742 7.07847742
WBTC2, 0, 34.39775037 34.39775037
YFI, 0, 0.04197663358145287 0.04197663358145287
ZRX, 0, 1735048.8841189079 1735048.8841189079
