0x0bd53c805fad98bc7c942d95ed42659a2eda0d049818019c743856b974e093cb, 1581870081, ETH, 32.33519219045437, WBTC, 0.79852527
0x0d05fa0f77b09f0aa341849a2c4dab023d8e5a9cfaa50811ce24b02061eea13f, 1581871306, ETH, 412.2301902581654, WBTC, 10.06489252
0x23863bba9bb5f244ab06e27641db0f481d3dbc7210461fdc9352f94ca9e9c1ad, 1581872122, ETH, 22.113328631535484, WBTC, 0.51892577
0x5b2ac597b6bbb2d3595081edddfccce43145f101355be36d29718fc9db453509, 1581872122, ETH, 15.672793138329704, WBTC, 0.36778797
0xd07cc33b5e582ca3908b8eaa7d64715bff5f09abfe76de1ff659da4e1ce9ad92, 1581872128, ETH, 11.117637864414608, WBTC, 0.26089373
0xf4a89c00c1d4172e386343ed64f47fa1ec6d005e9fce7208426aba0fe243c628, 1581872128, ETH, 7.879621100343922, WBTC, 0.18490832
0xb55e30263e3900322d25be8352637adbe75f5a86a194b39b4b76bfdbbf8a3343, 1581872128, ETH, 5.5846813782251505, WBTC, 0.13105377
0x113e8418cda0ae3b070f4019a2b5753dab5d892c7fd6a9ae80d808ac17893699, 1581872128, ETH, 3.958142948608223, WBTC, 0.09288436
0x39bf789233707306932957da0b1af822134086391af342b7e1a746ee28814e7d, 1581872128, ETH, 2.8053338084354422, WBTC, 0.06583179
0xe67b99f841f1a130c253f5fbb876b7fd1ea4c554392bf30a37308513045070a5, 1581872141, ETH, 1.9882802871064271, WBTC, 0.04665828
0x0d93fa3816e69ab3e798401906d9aa4b3de9163ea18b117f8fa0a8cd380c6109, 1581872141, ETH, 1.4091870079233975, WBTC, 0.0330689
0xec25632a6f6e03881957a5862763fff1b7f2aaaf4014f7fc0e8789dafe027688, 1581872141, ETH, 0.9987611693395005, WBTC, 0.02343758
0xaf1e9280765ab4da5443a2741759b37a5bf7c672b13eab88127a5885584b4c00, 1581872189, ETH, 0.707871773129198, WBTC, 0.01661138
0x9ebf04c9d7e7b3f547092ab77c12d8366af07cc9f0d98e06e95aa18ff081c7a1, 1581872189, ETH, 0.5016893929640384, WBTC, 0.01177297
0x774b16260df1594d6a1b7c2dab6eee4702602352467423e61ffe481a3612b013, 1581872189, ETH, 0.35557225122268377, WBTC, 0.00834409
0xe20e91fad25aae1431571038f865e6815fcd296808948bd5700bdaed355b5eb5, 1581872189, ETH, 0.2520120977381608, WBTC, 0.00591388
0xc574aba04eb38e5fd0fb60f32c0b9faeab6e2c4ca76aafb9253fa77f409dc45a, 1581872196, ETH, 0.1786134699154261, WBTC, 0.00419146
0xe75572f8133623cfbd5ec96403bdc9f53b1c49fbbff84cddc5aab8a3b6a518ae, 1581872218, ETH, 639.2049665869441, WBTC, 15
0x221d921ee3e3bdd94c839e6c4883b13fd615c9ace2c4c9a7c896233e08a96dfb, 1581901543, DAI, 172.37118436962865, WBTC, 0.01643245
0xdef346665feec68535e53984aef4c8e37865c1ffe47e6397818afdff5b2e0926, 1581921445, DAI, 185.06720228828652, WBTC, 0.01787892
0xa63c60dc77006b856a38f3f0e9d7090e635d112f156854da5e0149904aa43d7a, 1581938459, DAI, 142.47026193775343, WBTC, 0.01378777
0xfe50974a58b512031ef2a7ef8c683c4d972025503706895bfd509b6c65039677, 1581959632, DAI, 88.83882189761688, WBTC, 0.00878054
0x8d9ff004e230c1943b9754a98d068e5261a90e0a03cfd323ce33eed3d5d2a93a, 1582045930, DAI, 47.65432825955177, WBTC, 0.00454208
0x8e600796446e3ddefeab053c23a36f98fd2eee8a5fcb2572dc93a387dbbf7e87, 1582209746, DAI, 23.355979523667163, WBTC, 0.00230785
0x2a007411a390ab7d8d4d047e663ec4c9b3c0f4194df78f2a84f13155ecf2248e, 1584422667, ETH, 0.12244065325308952, WBTC, 0.0025
0xa08c0814593231d202acc0d9958633f5b3ce1ed812510fe4e2a45da0dabcf542, 1588177249, BAT, 17.633664034072606, WBTC, 0.00037638
0x490bbb6ad45c086b126d42160ac29519e1321d7d6aae545d9792a3bc4d14ca56, 1589137299, ZRX, 8.72140292669756, WBTC, 0.00034781
0xa26eb042d66d27e5f56788ab689b8553baa1fc3f12cc96e43a115a4d7f4cae52, 1589148720, ZRX, 54.89508712909879, WBTC, 0.00232749
0x01d510cf6ba677d732c1e258a97594405edf7b0b751ce47894f8d384684d9bc3, 1589163385, BAT, 63.98425517795719, WBTC, 0.00133622
0xe150df94343e3e89b7a01f446417c5777515c5e9fc8a40f0a1a28102c4c91a87, 1590481003, ETH, 0.0197811503610158, WBTC, 0.00041496
0xc0519ae0fef1c8667e3eacd28cc7932855df9270658caac34cf20c008ec8eb4f, 1590667719, SAI, 3.797005405879464, WBTC, 0.00041496
0xb694adc465036f71f9fdd6158aea884eb21aa000eb070334c0a530fea086311b, 1592179355, SAI, 1187.111074314677, WBTC, 0.14411392
0x2e9c923bfb395130b31215330297b90bf61c505bbf4c7901c6788e46fd5246af, 1594086493, SAI, 14.67122761382557, WBTC, 0.00184404
0x065f20d910db4268dd197d6cefe307d98f00a56e4ae88da73d9a794276d69921, 1594644872, SAI, 563.8680662368292, WBTC, 0.07260059
0xd155ba3bfa867373dc7ad978bb65bca4ba70710b3683a93d70ad91119458fde9, 1594644881, SAI, 281.93453795490706, WBTC, 0.03630036
0x3431c946d2c309a25f09891d4cd26fe8eb452432278f5068a76d4953662f1ca9, 1594665856, SAI, 142.91332201723108, WBTC, 0.0181507
0x881b2e051cc911a1342a6d3a7f133654925ff59dcfd99be6af1c697d6f273e43, 1594777211, SAI, 1.9752772671394274, WBTC, 0.00025087
0x071126bf839ed8ae0994975e88fdb3dffac1009624f8e63b64af61db5be8f663, 1594829044, SAI, 39.368542815753536, WBTC, 0.005
0x1310494d81cc3e686f7ca3e81072870fbf3287e7fb39a4ea29aa89e33a8913c7, 1595888599, SAI, 45.3080517645213, WBTC, 0.0065
0xdcc73ef8ab420364b4e895c4aa17ad555969609a28a041ce94939673fc41b16d, 1595890467, SAI, 23.002549357312947, WBTC, 0.0033
0x2bb8a03edcfdd7bc61cfdb0566569253b625ec5ad62943446f7da15acdf39204, 1596302037, DAI, 816.287240109436, WBTC, 0.06522839
0xa1bf480cbad25514f7a548231adaed4c349e63db9e5e95b8b58c31680b146d82, 1596648654, DAI, 2.5756226437620326, WBTC, 0.00020748
0x692043d5c2aecc18ad7e0f48a65e9620298f6b61e1c20dfdca8cbe01c188d302, 1596742382, DAI, 2.60513061046024, WBTC, 0.00020748
0xde6435ee8d7e8f86183486a9bceee9cc0a5533bebde97e48705f883412dd361d, 1597481110, ETH, 149.00522068911079, WBTC, 4.99867669
0x3aa9030dc2e9e6facb1f9c1ff43b119bdc897f550e9c08b43ff23616ba7e06d0, 1598140319, USDC, 0.12546440978906073, WBTC, 0.00001
0x2b7451e9543c5ad01f0b5ccbcdf14d2d9681b9acb789c33493d71dbfc28f7e5d, 1598221167, USDC, 0.12546440997788907, WBTC, 0.00001
0x29b6775caf5723e045133061edb8183b5598e66b230987b9764109a8567e7a8b, 1599135182, ETH, 25.26321875150124, WBTC, 0.8421359
0xb9dd949afe26f4df5828255afe4369cc156af5eceda4474ef1d2fddc063af439, 1599304759, ETH, 13.171626338523506, WBTC, 0.42118534
0xf9ff88f4494cffbf13278778854fcd7d34aaf4a92e730973921825fec65ace31, 1601843207, DAI, 90.57050316322476, WBTC, 0.0079793
0x905a273b43a67065bac3b735c6bb5d362ec5dc6ece058f46273c3f20a8d6128a, 1602486879, ZRX, 245.3530598415789, WBTC, 0.00765187
0xe1b44ee4104ac39b4c849a1f7a2a92c49d5983775df77c41744e3f9c901905db, 1602642456, BAT, 0.11837050212250266, WBTC, 0.00000208
0x1531c180cb7797e28c2f0b12cf5aa5c25145281194b0c7b981f6ab8094721497, 1602809905, DAI, 49.1828575887922, WBTC, 0.00399414
0x8597078092653592cfad5351a83076bb473024900b2e3b7a48956718fad6b361, 1602809905, BAT, 0.06064937244310805, WBTC, 0.00000104
0xbf98057e762f60629e9be17a92aa6d2cde1988e36f19844fca86bdc36211b4c8, 1602893659, DAI, 17215.280320719405, WBTC, 1.41944957
0x0e52ab5b1da8e738dc0428477fcceeef6d3e7a84e034e962db66bdede4f89ffe, 1603206469, UNI, 1782.9154723857134, WBTC, 0.39926681
0x2494481a6f14fa17dca4d25847545c4e16611870a0c67f304491a1d3e21e6597, 1603290208, USDC, 1679.1814317645908, WBTC, 0.12208936
0xfae22318abacd79f588f4afa02eb2f95dd3031dfe124d58015a4af41e2c1dd51, 1603297394, UNI, 5282.165531906698, WBTC, 1.11531338
0xe736463da928e568c77c414fedb347a02a8ed2aa8b3e7a6b3c26e24b0edbe5a4, 1603386460, DAI, 27.72021327173781, WBTC, 0.00199808
0xb849c02a07f3611ba51361ba9e8ba695f2c8f1c5bd9a639fa3f8f28cb00020e9, 1604024034, UNI, 2681.2446320066165, WBTC, 0.41691036
0x6387b29ec8667018c2750f5c618f2923dcfdb06ee9a76881ee4c312247e1512c, 1604036202, ETH, 58.775773235868115, WBTC, 1.52749224
0xfde5dc36bee34f79537769487482b620abb65b29859f9ef127b0f32ead7eb868, 1604097707, USDC, 149.21248888585234, WBTC, 0.01016841
0x91d8926ad1b82f4ba0e5503bc68957b5d905b89cf0f9f1d0a39b3202fa9bb22f, 1604377889, ETH, 12.153647856665026, WBTC, 0.3070824
0x599a19d62cb456a48e24793d8463165b1349b55d77993efb75bf3b52a5437a22, 1604476621, UNI, 311.67924626130866, WBTC, 0.0427944
0x7d515a43e7ca3e68248f9e8a2da7b23e330ec206306c112f4b6a7ec58622356d, 1604616967, USDC, 1023.4816203969676, WBTC, 0.06110781
0xfbb32d00fb3beed759e7de42551b5b4c0407780600ac20bbf51aff5dda121380, 1604842679, USDC, 38.58873441575456, WBTC, 0.00237913
0x95c71ee7c4a4c314267725d55abbd81a2a7d3ebb88d6b3d244dc3267366a8452, 1604869625, SAI, 22.821216834231713, WBTC, 0.00328152
0x6977b448420b40e784998b97d8946e2a4083d47ea726f0ad6be5d6e2d9144fb4, 1605183789, USDT, 87.69305534270855, WBTC, 0.00508832
0x52bb6f9825c574ef57feace76540d40cb3373384178695185624f956d838f5ad, 1605189007, USDC, 74.98387692390595, WBTC, 0.00435088
0x8513b90b7e3cd6d73de0a4525a71af1d6677027459e183b6aea3e1a98a4e9088, 1605201133, DAI, 204.4249700515666, WBTC, 0.01176877
0x77c98654cdda1c65488aaa802c1c3ef6b0828234d54e518d18c4551260f91ad0, 1605326884, UNI, 25.72326124615223, WBTC, 0.00528837
0x4353f343f1b81edb35dffe0e38f7743bd76cbf47279fffd8c549779dfb0845dd, 1605951749, USDC, 7.366533569068731, WBTC, 0.0003648
0x1a9de7c4d4d6af7f935bb3cd5aeab45272fc90f400040af6bf078bbe2191ce25, 1606367064, ZRX, 1245.3319601070752, WBTC, 0.02493982
0xc92130654bb8ef0f339cc95205a0fccb46873555e6d4abb260bcfb50600d2754, 1606381038, ETH, 73.77863241166263, WBTC, 2.00038035
0x1dc19b9a2cd533b274fefb231612f7b08f6242d0efcad3abbb093f03b36a8c63, 1606651369, UNI, 34.4499932638326, WBTC, 0.00589108
0x8d476c26f56fb3a675dde94e743bc356ccf4137128dacc879cd410153b7fafcc, 1607121213, UNI, 2144.639389506407, WBTC, 0.37513756
0x26469d64c876f5372d47f92895f54ff17dc8034471c9efaefaf0b4e919e16874, 1608139005, USDC, 344.4562358719771, WBTC, 0.01542214
0x06698917faa026771a9b80a0fa7de3cbef7c152171ee943563759f0e3cb2b633, 1608174368, ETH, 18.985221938866495, WBTC, 0.51130455
0xb4f1410805b6382a89d7b60e2bca69d9116b9f4b1170283f597a234938f36ca1, 1608262144, DAI, 73.112441471791, WBTC, 0.00295015
