0xfd173f1fc1b78e2712836d3310be09bda1ffc937a61ee4e656c2666ea68015f2, 1592735998, DAI, 35.439682175582995, USDT, 33.251106
0xfd0faf82aa710d5ed4387a477a210edb4fdcbde1d0c369840229f2a451674937, 1592841670, USDC, 16.840093319803504, USDT, 15.592679
0x8f04d054f73a5ee10c3394e3c858f7cdbdbc651e2cd5be6181d4367cab7c32fc, 1592872962, ZRX, 3363.1323509942563, USDT, 1092.506865
0x54b77c2714d0c3b2d4098c85ea64b0e523609469a15bfac9b15ca9bf19cdf159, 1592983575, DAI, 1407.524053679729, USDT, 1291.851504
0xef23446294ef0c758305012596babf5249b70c1cfbe4314a0164cab5c0ca6961, 1593022450, DAI, 3135.462209826778, USDT, 2897.271191
0xba7a256b5fec004f2673a3526beea703e18569543bda77a48ed28093f321d8f4, 1593049267, USDC, 50.40348335993255, USDT, 46.669892
0xafae82ebac25289b0384cfd1554cb27b00dad4f81c8cd2cb6449f00aa7540765, 1593087635, DAI, 100849.18464088535, USDT, 93194.794804
0x160d822c35b21ce8a01e0393375b9d563453a30da002439b1d904eed1b95661c, 1593124565, ETH, 6.087128231581831, USDT, 1302.658809
0xc50c620ee9aa02d5dd62d5efc53520634959307efa81cf6865a99e482f43aaa8, 1593276160, BAT, 6791.698247741609, USDT, 1757.491312
0x5daecec78ec633d7761a3a668d12dd1472d8b73913c13f4e53127235a0a7efe3, 1593285943, ETH, 0.11201062643671783, USDT, 23.346797
0xbd5c7cb46cfa91ab2ed9bf68b2ce3a3282de21420639681988f1e96c8c6fd761, 1593298163, BAT, 21420.228403552865, USDT, 5350.100431
0x475adbbc7226b121077e4bae696c526a83750c55eed408a391c5a951b0d5c2b4, 1594183078, USDC, 40.506205679852194, USDT, 37.505746
0xf1ba37afd062675251a008bafca9a0363a0c15b172191d7d20875f8b65b6cbd7, 1594306608, ETH, 2.4440346337135903, USDT, 546.716602
0x7414cb2e1c3bc535473279aff9ca72cf61e43866c957462eefb2064d01a6e034, 1594375950, ETH, 0.0020889595286865082, USDT, 0.461321
0xb0069a06d687ea2976baf2209bd93611da4d5f5d10ce2318377da2717f6281df, 1594377608, ETH, 0.02047051061131898, USDT, 4.52066
0x3f40e4d04824680279b7dc25b327369c8728a297f4257d2c5b5e94eda61d8856, 1594664880, ETH, 1.5555375607179693, USDT, 348.335673
0x4c936979647f60a83c41b8d62d1302812b9adaf81ae06b134bccb89e428a2184, 1594665098, ETH, 0.5358753688964017, USDT, 120
0xcb8cc018d1c5b512ae54ddea6cb5509134cc6e4d51091cbff9b880c3bc58a925, 1594676657, ETH, 0.4066186103354257, USDT, 90
0x3b7fd47a9f87366340ee16fa005121d7db936a08bdb66d2d503492ee7d8c9a65, 1595273952, DAI, 1168.6476344688144, USDT, 1095.849671
0xab4af2b061b7fb0a26161ccd9daec8bec99a5a8389dc3f8912b530157aa3894a, 1595672905, ETH, 2.0223317728092534, USDT, 527.593795
0xd107c72d7dc922819a8132de0f7c353794bf08cfb0db97c0b224370f6fc40188, 1595963839, DAI, 309.7946532327624, USDT, 291.892377
0x751336dc8a698753900438894887c76e708451a051e8941aef92b7a204140f69, 1596053106, USDC, 355.8322807199857, USDT, 329.474334
0x300f14b8e4bad49823c6b29d8318750bf29dbc8c2d8260b56821e77d33316ca9, 1596123858, DAI, 1294.416693560084, USDT, 1235.024971
0x6c091dad298f29ba7c757bcc867869defe4ab751c5443531a231f4d72abe8a3f, 1596575408, ETH, 0.4077954558291293, USDT, 146.295777
0x52ecb4e3d59c682d92fb51fa4d923278b959982267e384fe8a832038d7eb184c, 1598804090, ETH, 8.101454731748401, USDT, 3116.059533
0x685b2db70c808f80bf2e7feb1cf1a4c6ca160067c40f313584d838035f6a683a, 1599000624, ETH, 2.1267873294962345, USDT, 949.955161
0x74801b5a8b34a6e3a3bfa0d873bad8a684381a06e6aab90f3e6da132337ec2fb, 1599136046, ETH, 25.334347808753098, USDT, 9447.952403
0xbd8495fbd6ee3cd7c93a7da39f41509527b1f1018e02cdeee0a330ec1fc73ff3, 1599165637, ETH, 4.925017313266745, USDT, 1860.014872
0xa604e2061283e4037818ccfca3be4a49f7015ca41978a1619814658621300839, 1599177177, ETH, 5.110863991702578, USDT, 1782.058896
0x666966c6efbd8c9a16878453cb54e4af0d14438ef796c76b9c5fc5412dcf9daa, 1599199157, ETH, 3.0685963398990728, USDT, 1101.100444
0x8952b2d22c767ac6833aa4cb5cdcde28cf906e965e072a3445425e1207c74544, 1599205492, ETH, 48.608149667970174, USDT, 16941.065348
0x6a5c4bafd4eee1ef7da556100bca7501bcac9b6038cf29c695e2915152d0cd92, 1599309500, ETH, 14.857240788290778, USDT, 4727.766599
0xeb643623e8e9cc6cb7ef16fb35ea476c7028592ade9d49eada811cd29052b10d, 1599309563, ETH, 11.319452171508747, USDT, 3568.509702
0x8ad2b8fd6dfc941279d1eb816d8858f867710be207202a3f4699407d9d11f42d, 1599309942, ETH, 81.08124563067365, USDT, 25339.015388
0x190178a7ae3487ae7d3c78e666e3a981554a973114e5f8ddb832d50eb0ab05e7, 1599324665, ETH, 3.5040298510052312, USDT, 1122.084448
0xe457f7a0cd2669882e4d9a67705ad7a6baf706967a9020a1731bf458d9745fd5, 1599324840, DAI, 1343.7336357135564, USDT, 1263.206665
0xb647d49a3835df5206f4b31acdf7abd4146d15635ca741a5cbac90fca47cd1b6, 1599331256, ETH, 4.237602157579236, USDT, 1309.948767
0xb6c2cdad57f4772ed0a7e71a781f1109e428fc9aba133e06cb6bd5c6b75829c9, 1599331643, ETH, 39.474898479049756, USDT, 12043.133611
0xfb8c5cd0bbf09bc0b48675e2041bf62a5ee7680473e9011f36a20bcd4ab39348, 1599332015, ETH, 244.58347223456718, USDT, 72710.363438
0x8e0658e427a0ed1870aaa3a068c3afc787c226db455ff7616b9384fdd7eb5cc9, 1599332283, ETH, 29.36388670375831, USDT, 8475.015856
0x7ad034c2244794527e946cc8a0422309eaa9596650e4636039ee3be87b0e64f9, 1599340082, ETH, 3.0668587136041627, USDT, 930.635437
0xbdce160401d3102ad83596c94488e97fd8e016477ce0da1d6c3c9ad4a1532b32, 1599343567, ETH, 2.0729426738339787, USDT, 629.032535
0x53a9ce0fb912c771156f360b59d52ec3b6332a8080320b8be147d039be7c6dfd, 1599343589, ETH, 2.0435596543925523, USDT, 620.116285
0x44e5487145f2e5257596687f790a4c6bc4a09b53423032ef403a6d554b3fdafa, 1599377091, ETH, 2.609082127389083, USDT, 766.200449
0x529bd29496aa1ffee97d86279dd463a8dc35870e12f04802eec56d9354beb0a5, 1599930822, BAT, 4924.31925252151, USDT, 1168.987795
0x0d0f42ef86886de6a4be74e0d39ed139a00f816a3814fa09d65c3167f8528ff2, 1600020597, WBTC, 0.10613327808826921, USDT, 1005.014828
0xf66c81809557b730871845f2a5fb78f4ac2be161f61db562f81dd831ef38eb90, 1600124001, ETH, 7.717830220972648, USDT, 2660.221739
0x4576851c4d8d2d5797d6e4b5ab4949409ae41b670dcde4e41a6e6ec6ea654602, 1600479832, ZRX, 1267.4712543091557, USDT, 479.310685
0x553b8bbe9c96acb6dea7bca6c0e40a3f6c80f10f76dc40b2b1bfee4985217fb9, 1600503147, ZRX, 31983.57861156361, USDT, 11959.785391
0xe656e4c3215e93424c98c236da2cdd2963512cf298d5233ca256bf226ba92600, 1600619103, ZRX, 28509.606274369777, USDT, 10501.777449
0x8693b9b88e56785629650b50fadee63862549f21e9936635a98e34fe6423e142, 1600682483, ETH, 7.096341926750685, USDT, 2353.587219
0xf1ffa66d26db76dee4d92332fc4280ccee9102d6642cebda73ffd5c87d5bb57b, 1600690124, ETH, 4.259035254829579, USDT, 1365.927816
0xcb93a866d26414484f44ee7bc815940e2fd0b902cc30630a4537952a60ca414d, 1600894346, WBTC, 0.08837583132064451, USDT, 831.372313
0xe949cdf815e66abe497efae915f7631c44cf7e7aeae8bb04913fde996a4dd550, 1600895333, BAT, 663.8602242668541, USDT, 132
0xf2dda7df721bca47488546aceaef5541ce2d8e531ba763a74205b4c4ced269e8, 1600903154, ZRX, 792.5644563248177, USDT, 251.745624
0x87f30d5a7c7e8186b52568cfca98d991d81230cefd80c358040e536e5cb9c650, 1600905974, ETH, 1.507753408431986, USDT, 443.153856
0x7ad06e8fc2851b0a26a250482c1d40fbbf687beac3d39fc7e87b8d22f2104c55, 1601139543, DAI, 1621.968501684902, USDT, 1514.787922
0x28ea6d657365691013291c7fea7b6fa9aa4415cf276037176986f2bbe29b062b, 1601480496, WBTC, 7.901894193832621, USDT, 77999.999999
0x1a8721a5a7cc2bddbaeb034c7ea6215513992e7487975f4343ee379dadd228a5, 1601839048, USDC, 396.8880659998985, USDT, 367.48895
0x06b5ac789f1e5852e0fd21033a7d92ff40e5202a6b6b5b30f058b1518ac79d67, 1601864829, DAI, 1374.607168825411, USDT, 1285.88264
