0x87ad6750631add0a0eccb436f0d80d8cf5db017f60147982089cbe6deac3ae9c, 1569971468, ETH, 0.0362801605703052, ZRX, 28.559078950984958
0x15b8fcb7b2e4dfa9e3feff92a32eaf0d64ec2c68c47ab3c0475f235370b87f6b, 1570134590, ETH, 0.010423093773508892, ZRX, 8.2686
0x5d209080838ef7bb64fd5baff8a63f236858ff237d28f281285340e2d36c6693, 1570208685, SAI, 14.40522096298324, ZRX, 62.1485
0xcf538d128535fb779618344fb89ecad9fa4622ee418263eae265962e12a5b768, 1570209488, SAI, 0.09727168791146906, ZRX, 0.41965961608310187
0xdbccb58bd98cccb3d1e48abc9275dcc19bd0cdc51922f2bee6779f7afc57571c, 1570209488, ETH, 0.0028615976704907155, ZRX, 2.182185310249025
0x17a3d9bbcf0d634da6b54dcaf0bbc5b5d4ef8aaf59ae2d255bc4ff3bfbf612b1, 1570209488, SAI, 0.0009483368193504082, ZRX, 0.004091413884275601
0xcb4fac4269a20b72be41293a6034488beda76a96bc5a838f4a2f188764c111d2, 1570209867, ETH, 0.02011573037524173, ZRX, 15.177731962617765
0x7f16bee9e040f8ff591b32039e2cd28a83a6e22ecf2db89686fcec3ebbc0c158, 1570531384, ETH, 0.02805460277396399, ZRX, 20.2348
0x20a22b934cd8155a49c3c6247fe29a4bb70f6e87e3176524e89b6a97f1b93c43, 1570592360, ETH, 1.1931418974176646, ZRX, 752.2437780564289
0x7653f176b0c581dbe3caf941e32aafc7248bc4e7f9a9959c6f518ce74a3a5b52, 1570607649, SAI, 8.787446328678731, ZRX, 31.4314
0xfa0b9a9fbdb7f8ebc3da648f0a4176464c558c7288e9b980c364c3ebf0bc34de, 1570726615, BAT, 8.752526709342689, ZRX, 6.0753
0x5ded4ca9dadff1296608d9264dd8097a1c53ac4193055eb26770ddfd86850cf1, 1570846538, ETH, 0.006288919008867099, ZRX, 4.1862
0xb58c139208eae3ad96489dacfdd95bc3bedfcac2931ad23026c2185d561664e9, 1571010378, SAI, 589.0214598803319, ZRX, 1922.58036157495
0xaddc9b5812e431031fb94e47663c9d09e060b2a9253002befbc3dede91682576, 1571062558, ETH, 2.8825868838574564, ZRX, 1571.432226220685
